title,description,property_type,transaction_type,province,city,district,town,detail_address,total_price,unit_price,area,room_count,hall_count,bathroom_count,floor_info,total_floors,build_year,decoration_type,cover_image_url,tags,contact_phone,contact_name
湘桂盛世名城二期电梯房出售,湘桂盛世名城二期，电梯房，4室2厅2卫，新净明亮，128平米，52万,1,1,广西,钦州市,灵山县,灵城镇,湘桂盛世名城,520000,4063,128,4,2,2,中高层,26,2020,2,,,,
金色家园文峰路75号出售,金色家园，灵山城区文峰路75号，总价低，单价3650元/平,1,1,广西,钦州市,灵山县,灵城镇,金色家园,0,3650,100,3,2,1,中层,7,2015,2,,,,
江景豪庭丰裕路130号出售,江景豪庭，灵山城区丰裕路130号，2套在售，单价3050元/平,1,1,广西,钦州市,灵山县,灵城镇,江景豪庭,0,3050,100,3,2,1,中层,7,2016,2,,,,
灵山碧桂园小区出售,灵山碧桂园，湘桂大道延长线(气象局东南面)，2019年竣工，占地90869.5平，70年产权，11套房源,1,1,广西,钦州市,灵山县,灵城镇,灵山碧桂园,0,0,100,4,2,2,高层,30,2019,2,,,,
